Timestamp,consent_YN,age,gender,degree,diagnosis_YN,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36
1,I agree,Older than 25,Female,Bachelor's,Yes,2,3,2,3,2,3,1,3,1,1,4,4,1,1,1,3,4,1,3,1,1,4,3,2,4,3,1,2,4,3,3,4,1,3,3,2
2,I agree,19,Female,High school diploma,No,3,4,1,5,4,5,4,3,3,2,3,3,2,3,3,2,5,2,4,1,3,3,5,2,4,3,5,4,4,3,3,5,3,3,5,4
3,I agree,22,Male,Bachelor's,No,1,4,1,4,3,4,5,3,2,1,1,4,4,1,4,4,4,3,5,5,3,4,4,4,3,4,5,4,5,3,5,4,4,3,4,4
4,I agree,N/A,Male,Less than a high school diploma,No,4,4,2,3,4,3,3,1,1,2,1,1,3,4,2,2,5,3,2,1,1,4,5,3,4,5,2,4,2,2,2,4,4,3,4,3
5,I agree,Older than 25,Female,Associate's,No,1,4,2,4,5,4,4,1,3,1,3,5,4,3,3,4,4,4,5,3,1,2,4,3,3,3,1,3,5,3,3,1,5,4,2,5
6,I agree,19,Male,Bachelor's,No,2,1,4,2,1,1,2,5,2,3,4,1,2,2,1,4,2,2,4,5,2,2,2,5,2,2,5,1,5,4,4,3,4,2,3,2
7,I agree,19,Female,High school diploma,No,1,4,2,4,4,4,4,2,3,1,2,5,4,4,4,4,3,3,2,4,3,5,3,4,3,2,5,2,2,3,4,4,2,3,3,4
8,I agree,Older than 25,Male,Doctoral,No,2,2,4,2,2,2,2,2,1,1,2,1,2,1,1,2,4,5,5,2,1,5,5,5,5,5,3,4,5,2,1,5,2,4,4,5
9,I agree,25,Female,Master's,No,2,1,3,1,1,3,1,3,1,3,3,1,3,1,1,2,1,1,5,3,1,5,1,5,1,1,1,1,4,1,5,1,1,5,1,5
10,I agree,25,Male,Master's,No,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,4,2,4,5,1,4,2,4,2,4,2,2,5,3,3,1,1,4,1,4
11,I agree,22,Female,Bachelor's,Yes,1,2,2,4,5,5,5,2,5,1,2,5,5,5,5,5,4,1,4,4,5,2,4,4,4,2,2,4,5,5,1,2,2,1,5,4
12,I agree,22,Male,"Some college, no degree",No,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
13,I agree,20,Male,"Some college, no degree",Yes,4,3,4,2,2,5,2,3,2,2,3,1,2,4,1,4,3,2,4,2,1,5,3,4,2,2,1,4,4,2,2,1,1,4,2,2
14,I agree,23,Female,Bachelor's,Yes,3,4,3,3,3,3,4,3,4,2,3,3,5,4,3,4,2,1,1,5,1,4,5,3,2,5,4,4,3,4,4,1,1,3,4,5
15,I agree,Older than 25,Male,Professional,Yes,4,4,4,4,4,4,4,4,2,1,4,4,4,3,4,4,4,4,3,2,2,2,4,2,4,2,2,4,4,2,2,4,4,2,4,4
16,I agree,22,Female,Bachelor's,No,4,2,4,3,2,4,3,4,3,3,4,2,3,2,2,3,2,3,4,3,3,4,2,4,2,4,3,3,2,3,2,3,2,3,2,3
17,I agree,25,Male,Bachelor's,Yes,1,4,2,3,4,2,3,2,1,1,4,1,3,4,2,2,4,5,1,2,5,1,5,2,5,4,1,5,5,1,2,5,1,3,5,1
18,I agree,Older than 25,Female,Professional,No,2,4,1,3,3,4,2,2,3,2,2,4,4,3,3,4,4,4,2,3,3,3,3,2,4,3,2,4,4,3,2,4,4,3,3,3
19,I agree,19,Male,Bachelor's,No,5,1,5,1,1,1,1,5,2,4,5,1,1,1,1,2,3,2,1,5,1,1,2,5,1,2,2,2,4,1,2,2,3,5,1,5
20,I agree,Older than 25,Female,Master's,Yes,3,3,2,2,5,5,4,4,4,1,2,2,2,2,3,4,3,1,3,5,5,4,5,4,2,4,4,1,5,5,5,1,1,5,2,5
21,I agree,Older than 25,Female,Bachelor's,Yes,1,5,5,5,4,5,5,1,4,1,2,5,5,5,5,5,5,4,4,2,4,4,5,2,5,4,2,4,5,4,2,4,4,2,4,2
22,I agree,Older than 25,Female,Master's,Yes,1,5,1,4,3,4,3,2,4,2,3,4,4,3,3,5,1,1,3,1,3,4,1,4,3,1,5,1,5,4,3,1,1,4,3,4
23,I agree,Older than 25,Female,Less than a high school diploma,Yes,3,3,1,3,3,4,2,1,2,1,2,3,3,2,2,3,2,2,3,2,2,2,2,3,2,2,2,2,5,4,4,1,1,3,2,4
24,I agree,19,Male,Bachelor's,No,4,4,1,4,5,5,5,2,4,2,4,4,5,4,4,5,4,2,4,2,1,5,4,2,4,2,1,4,5,2,2,4,4,4,4,4
